time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1771284900,1.18518,1.18519,1.18517,1.18517,8,15,0,2026-02-16 23:35:00+00:00
1771284960,1.18517,1.18518,1.18517,1.18517,8,15,0,2026-02-16 23:36:00+00:00
1771285020,1.18518,1.18518,1.18517,1.18517,5,15,0,2026-02-16 23:37:00+00:00
1771285080,1.18518,1.18518,1.18517,1.18517,2,16,0,2026-02-16 23:38:00+00:00
1771285140,1.18517,1.18518,1.18515,1.18517,6,15,0,2026-02-16 23:39:00+00:00
1771285200,1.18518,1.18518,1.18517,1.18517,3,15,0,2026-02-16 23:40:00+00:00
1771285260,1.18517,1.18518,1.18517,1.18517,3,15,0,2026-02-16 23:41:00+00:00
1771285320,1.18517,1.18517,1.18517,1.18517,1,16,0,2026-02-16 23:42:00+00:00
1771285380,1.18517,1.18517,1.18517,1.18517,1,16,0,2026-02-16 23:43:00+00:00
1771285440,1.18517,1.18517,1.18515,1.18516,5,12,0,2026-02-16 23:44:00+00:00
1771285500,1.18516,1.18517,1.18515,1.18517,16,12,0,2026-02-16 23:45:00+00:00
1771285560,1.18516,1.18518,1.18516,1.18517,5,16,0,2026-02-16 23:46:00+00:00
1771285620,1.18516,1.18517,1.18516,1.18517,5,16,0,2026-02-16 23:47:00+00:00
1771285680,1.18517,1.18517,1.18516,1.18516,2,16,0,2026-02-16 23:48:00+00:00
1771285740,1.18517,1.18517,1.18517,1.18517,1,17,0,2026-02-16 23:49:00+00:00
1771285800,1.18516,1.18517,1.18515,1.18517,6,14,0,2026-02-16 23:50:00+00:00
1771285860,1.18516,1.18516,1.18516,1.18516,1,16,0,2026-02-16 23:51:00+00:00
1771285920,1.18516,1.18518,1.18516,1.18517,4,16,0,2026-02-16 23:52:00+00:00
1771285980,1.18517,1.18517,1.18517,1.18517,1,15,0,2026-02-16 23:53:00+00:00
1771286040,1.18517,1.18517,1.18517,1.18517,1,16,0,2026-02-16 23:54:00+00:00
1771286100,1.18517,1.18517,1.18516,1.18516,4,14,0,2026-02-16 23:55:00+00:00
1771286160,1.18517,1.18517,1.1851,1.1851,42,9,0,2026-02-16 23:56:00+00:00
1771286220,1.1851,1.18512,1.18505,1.18509,18,9,0,2026-02-16 23:57:00+00:00
1771286280,1.1851,1.1851,1.18506,1.18509,16,10,0,2026-02-16 23:58:00+00:00
1771286340,1.18509,1.18509,1.18506,1.18506,12,10,0,2026-02-16 23:59:00+00:00
1771286400,1.18512,1.18512,1.18507,1.18507,12,4,0,2026-02-17 00:00:00+00:00
1771286460,1.18507,1.18514,1.18505,1.18513,24,1,0,2026-02-17 00:01:00+00:00
1771286520,1.18513,1.18515,1.18507,1.18507,12,2,0,2026-02-17 00:02:00+00:00
1771286580,1.18507,1.18508,1.18506,1.18507,16,1,0,2026-02-17 00:03:00+00:00
1771286640,1.18507,1.18507,1.1850100000000001,1.18502,14,1,0,2026-02-17 00:04:00+00:00
1771286700,1.18502,1.18503,1.1850100000000001,1.18503,5,1,0,2026-02-17 00:05:00+00:00
1771286760,1.18503,1.18505,1.18491,1.18491,31,1,0,2026-02-17 00:06:00+00:00
1771286820,1.18491,1.18491,1.18487,1.18491,15,1,0,2026-02-17 00:07:00+00:00
1771286880,1.18491,1.18491,1.18481,1.18482,23,1,0,2026-02-17 00:08:00+00:00
1771286940,1.18482,1.18487,1.18479,1.18487,66,1,0,2026-02-17 00:09:00+00:00
1771287000,1.18487,1.18489,1.18483,1.18485,21,2,0,2026-02-17 00:10:00+00:00
1771287060,1.18486,1.18491,1.18485,1.18488,40,1,0,2026-02-17 00:11:00+00:00
1771287120,1.18488,1.18496,1.18488,1.18494,29,1,0,2026-02-17 00:12:00+00:00
1771287180,1.18494,1.18498,1.18494,1.18495,23,3,0,2026-02-17 00:13:00+00:00
1771287240,1.18495,1.185,1.18494,1.18499,24,3,0,2026-02-17 00:14:00+00:00
1771287300,1.185,1.185,1.18496,1.18496,13,2,0,2026-02-17 00:15:00+00:00
1771287360,1.18495,1.18497,1.18493,1.18495,31,1,0,2026-02-17 00:16:00+00:00
1771287420,1.18496,1.18496,1.18488,1.18491,30,1,0,2026-02-17 00:17:00+00:00
1771287480,1.18491,1.18495,1.18491,1.18492,18,1,0,2026-02-17 00:18:00+00:00
1771287540,1.18488,1.18488,1.18476,1.18476,28,2,0,2026-02-17 00:19:00+00:00
1771287600,1.1847699999999999,1.1847699999999999,1.18472,1.18475,25,2,0,2026-02-17 00:20:00+00:00
1771287660,1.18475,1.1847699999999999,1.1846700000000001,1.18473,25,2,0,2026-02-17 00:21:00+00:00
1771287720,1.18473,1.18481,1.18473,1.18481,35,1,0,2026-02-17 00:22:00+00:00
