time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1769382300,1.3667,1.3667,1.3666,1.36665,26,72,0,2026-01-25 23:05:00+00:00
1769382600,1.36665,1.36684,1.36643,1.36684,62,51,0,2026-01-25 23:10:00+00:00
1769382900,1.36679,1.36714,1.36672,1.3667500000000001,113,68,0,2026-01-25 23:15:00+00:00
1769383200,1.36681,1.36684,1.36667,1.36674,46,75,0,2026-01-25 23:20:00+00:00
1769383500,1.3667,1.36672,1.36642,1.36652,88,47,0,2026-01-25 23:25:00+00:00
1769383800,1.36652,1.36654,1.3664,1.36654,25,50,0,2026-01-25 23:30:00+00:00
1769384100,1.36654,1.36693,1.36652,1.36692,55,23,0,2026-01-25 23:35:00+00:00
1769384400,1.36692,1.36695,1.36692,1.36693,105,45,0,2026-01-25 23:40:00+00:00
1769384700,1.36693,1.36819,1.36693,1.36752,251,14,0,2026-01-25 23:45:00+00:00
1769385000,1.36747,1.36843,1.36747,1.3679700000000001,308,13,0,2026-01-25 23:50:00+00:00
1769385300,1.3679700000000001,1.3683100000000001,1.3679000000000001,1.36795,114,14,0,2026-01-25 23:55:00+00:00
1769385600,1.3679700000000001,1.36807,1.36753,1.36758,482,1,0,2026-01-26 00:00:00+00:00
1769385900,1.36752,1.36794,1.3669,1.36786,669,1,0,2026-01-26 00:05:00+00:00
1769386200,1.36786,1.36805,1.36782,1.36795,470,1,0,2026-01-26 00:10:00+00:00
1769386500,1.36795,1.36802,1.36743,1.3677000000000001,655,1,0,2026-01-26 00:15:00+00:00
1769386800,1.3677000000000001,1.36777,1.36632,1.36633,615,2,0,2026-01-26 00:20:00+00:00
1769387100,1.36633,1.36652,1.36598,1.36623,641,1,0,2026-01-26 00:25:00+00:00
1769387400,1.36623,1.36664,1.36577,1.36602,588,3,0,2026-01-26 00:30:00+00:00
1769387700,1.36602,1.36656,1.36595,1.3665,534,3,0,2026-01-26 00:35:00+00:00
1769388000,1.3665,1.36662,1.36603,1.36603,435,3,0,2026-01-26 00:40:00+00:00
1769388300,1.36604,1.36646,1.36548,1.36616,622,1,0,2026-01-26 00:45:00+00:00
1769388600,1.36616,1.36638,1.36596,1.36603,610,1,0,2026-01-26 00:50:00+00:00
1769388900,1.36603,1.36649,1.36588,1.36649,691,1,0,2026-01-26 00:55:00+00:00
1769389200,1.36649,1.36649,1.36474,1.36544,1235,1,0,2026-01-26 01:00:00+00:00
1769389500,1.36544,1.36558,1.3648500000000001,1.36532,1112,1,0,2026-01-26 01:05:00+00:00
