time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1769385900,5014.56,5026.05,5004.02,5023.89,2032,79,0,2026-01-26 00:05:00+00:00
1769386200,5023.72,5026.55,5013.89,5021.94,2188,86,0,2026-01-26 00:10:00+00:00
1769386500,5022.05,5029.58,5019.95,5029.27,1863,44,0,2026-01-26 00:15:00+00:00
1769386800,5029.28,5031.24,5023.82,5024.96,1800,74,0,2026-01-26 00:20:00+00:00
1769387100,5025.0,5025.91,5012.68,5018.71,2058,40,0,2026-01-26 00:25:00+00:00
1769387400,5018.91,5027.69,5016.82,5023.06,1670,97,0,2026-01-26 00:30:00+00:00
1769387700,5023.0,5031.84,5018.39,5030.04,1481,35,0,2026-01-26 00:35:00+00:00
1769388000,5030.3,5030.58,5025.41,5025.72,1389,56,0,2026-01-26 00:40:00+00:00
1769388300,5025.71,5036.54,5025.46,5034.0,1786,74,0,2026-01-26 00:45:00+00:00
1769388600,5034.18,5040.14,5032.15,5039.97,1339,63,0,2026-01-26 00:50:00+00:00
1769388900,5039.75,5040.08,5036.33,5040.06,1297,98,0,2026-01-26 00:55:00+00:00
1769389200,5040.03,5041.49,5034.61,5041.06,2027,82,0,2026-01-26 01:00:00+00:00
1769389500,5040.99,5044.01,5037.91,5042.94,1493,96,0,2026-01-26 01:05:00+00:00
1769389800,5042.9,5042.9,5034.97,5039.34,1461,43,0,2026-01-26 01:10:00+00:00
1769390100,5039.34,5040.03,5033.21,5033.63,1464,49,0,2026-01-26 01:15:00+00:00
1769390400,5033.63,5035.44,5030.59,5035.08,1309,34,0,2026-01-26 01:20:00+00:00
1769390700,5035.05,5042.84,5034.87,5042.84,1542,2,0,2026-01-26 01:25:00+00:00
1769391000,5042.79,5048.95,5042.15,5046.16,1519,22,0,2026-01-26 01:30:00+00:00
1769391300,5046.23,5050.1,5045.9,5049.94,1408,24,0,2026-01-26 01:35:00+00:00
1769391600,5049.94,5052.26,5049.31,5050.37,1592,11,0,2026-01-26 01:40:00+00:00
