time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1771286700,76.585,76.646,76.479,76.613,83,242,0,2026-02-17 00:05:00+00:00
1771286760,76.611,76.614,76.48,76.5,35,218,0,2026-02-17 00:06:00+00:00
1771286820,76.503,76.525,76.489,76.525,16,214,0,2026-02-17 00:07:00+00:00
1771286880,76.524,76.65,76.524,76.584,38,221,0,2026-02-17 00:08:00+00:00
1771286940,76.572,76.736,76.572,76.687,68,148,0,2026-02-17 00:09:00+00:00
1771287000,76.705,76.709,76.551,76.58,33,187,0,2026-02-17 00:10:00+00:00
1771287060,76.579,76.584,76.254,76.334,109,163,0,2026-02-17 00:11:00+00:00
1771287120,76.334,76.453,76.235,76.417,104,153,0,2026-02-17 00:12:00+00:00
1771287180,76.471,76.546,76.456,76.481,72,105,0,2026-02-17 00:13:00+00:00
1771287240,76.482,76.494,76.446,76.455,43,117,0,2026-02-17 00:14:00+00:00
1771287300,76.455,76.494,76.449,76.494,14,104,0,2026-02-17 00:15:00+00:00
1771287360,76.481,76.502,76.454,76.472,46,113,0,2026-02-17 00:16:00+00:00
1771287420,76.474,76.479,76.268,76.348,271,105,0,2026-02-17 00:17:00+00:00
1771287480,76.358,76.423,76.258,76.348,55,144,0,2026-02-17 00:18:00+00:00
1771287540,76.348,76.455,76.343,76.453,28,88,0,2026-02-17 00:19:00+00:00
1771287600,76.453,76.48,76.424,76.463,133,59,0,2026-02-17 00:20:00+00:00
1771287660,76.462,76.516,76.458,76.492,111,58,0,2026-02-17 00:21:00+00:00
1771287720,76.497,76.549,76.494,76.528,55,52,0,2026-02-17 00:22:00+00:00
1771287780,76.528,76.649,76.528,76.648,125,52,0,2026-02-17 00:23:00+00:00
1771287840,76.641,76.801,76.632,76.747,218,36,0,2026-02-17 00:24:00+00:00
1771287900,76.747,76.747,76.666,76.725,220,65,0,2026-02-17 00:25:00+00:00
1771287960,76.725,76.753,76.72,76.751,114,69,0,2026-02-17 00:26:00+00:00
1771288020,76.751,76.887,76.751,76.86,189,40,0,2026-02-17 00:27:00+00:00
1771288080,76.859,76.916,76.735,76.785,157,57,0,2026-02-17 00:28:00+00:00
1771288140,76.786,76.788,76.732,76.735,137,71,0,2026-02-17 00:29:00+00:00
1771288200,76.735,76.789,76.735,76.787,155,71,0,2026-02-17 00:30:00+00:00
1771288260,76.786,76.816,76.73,76.743,154,69,0,2026-02-17 00:31:00+00:00
1771288320,76.743,76.743,76.639,76.641,147,71,0,2026-02-17 00:32:00+00:00
1771288380,76.641,76.646,76.561,76.617,238,46,0,2026-02-17 00:33:00+00:00
1771288440,76.618,76.628,76.608,76.621,118,64,0,2026-02-17 00:34:00+00:00
1771288500,76.621,76.684,76.6,76.677,129,65,0,2026-02-17 00:35:00+00:00
1771288560,76.677,76.686,76.605,76.657,200,51,0,2026-02-17 00:36:00+00:00
1771288620,76.657,76.678,76.623,76.65,126,65,0,2026-02-17 00:37:00+00:00
1771288680,76.65,76.697,76.626,76.639,84,63,0,2026-02-17 00:38:00+00:00
1771288740,76.637,76.647,76.624,76.626,84,59,0,2026-02-17 00:39:00+00:00
