time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1771284900,1.3634,1.36341,1.36326,1.36341,13,49,0,2026-02-16 23:35:00+00:00
1771284960,1.36342,1.36342,1.36337,1.3634,10,56,0,2026-02-16 23:36:00+00:00
1771285020,1.36341,1.36347,1.36341,1.36347,8,44,0,2026-02-16 23:37:00+00:00
1771285080,1.36345,1.36347,1.36344,1.36344,20,48,0,2026-02-16 23:38:00+00:00
1771285140,1.36345,1.36346,1.36342,1.36346,14,46,0,2026-02-16 23:39:00+00:00
1771285200,1.36347,1.36347,1.36344,1.36345,5,44,0,2026-02-16 23:40:00+00:00
1771285260,1.36346,1.36347,1.36343,1.36345,21,44,0,2026-02-16 23:41:00+00:00
1771285320,1.36344,1.36347,1.36341,1.36346,10,42,0,2026-02-16 23:42:00+00:00
1771285380,1.36345,1.36347,1.36344,1.36345,22,44,0,2026-02-16 23:43:00+00:00
1771285440,1.36346,1.36349,1.36344,1.36349,11,45,0,2026-02-16 23:44:00+00:00
1771285500,1.36348,1.36349,1.36343,1.36346,10,48,0,2026-02-16 23:45:00+00:00
1771285560,1.36347,1.36353,1.36342,1.36342,12,51,0,2026-02-16 23:46:00+00:00
1771285620,1.36342,1.36342,1.36334,1.36334,4,63,0,2026-02-16 23:47:00+00:00
1771285680,1.36343,1.36351,1.36343,1.36348,8,43,0,2026-02-16 23:48:00+00:00
1771285740,1.36349,1.36349,1.36343,1.36343,4,48,0,2026-02-16 23:49:00+00:00
1771285800,1.36343,1.36343,1.3633899999999999,1.36342,6,57,0,2026-02-16 23:50:00+00:00
1771285860,1.36343,1.36343,1.3633899999999999,1.36343,17,56,0,2026-02-16 23:51:00+00:00
1771285920,1.36343,1.36348,1.3634,1.36348,14,46,0,2026-02-16 23:52:00+00:00
1771285980,1.36345,1.36347,1.36343,1.36347,17,50,0,2026-02-16 23:53:00+00:00
1771286040,1.36347,1.36353,1.36346,1.36353,24,48,0,2026-02-16 23:54:00+00:00
1771286100,1.36349,1.36355,1.36346,1.3635,33,41,0,2026-02-16 23:55:00+00:00
1771286160,1.3635,1.36352,1.3633899999999999,1.36344,27,40,0,2026-02-16 23:56:00+00:00
1771286220,1.36343,1.36345,1.3633,1.3633199999999999,81,42,0,2026-02-16 23:57:00+00:00
1771286280,1.3633199999999999,1.36338,1.36327,1.3633,59,45,0,2026-02-16 23:58:00+00:00
1771286340,1.36326,1.3633199999999999,1.36325,1.3633,113,59,0,2026-02-16 23:59:00+00:00
1771286400,1.36343,1.3636,1.3634,1.3636,14,45,0,2026-02-17 00:00:00+00:00
1771286460,1.3636,1.3636599999999999,1.36355,1.3636,23,11,0,2026-02-17 00:01:00+00:00
1771286520,1.36359,1.36376,1.36359,1.36376,19,11,0,2026-02-17 00:02:00+00:00
1771286580,1.36375,1.36384,1.36375,1.36384,10,11,0,2026-02-17 00:03:00+00:00
1771286640,1.36383,1.36385,1.36383,1.36385,6,9,0,2026-02-17 00:04:00+00:00
1771286700,1.36385,1.36385,1.36371,1.36371,17,8,0,2026-02-17 00:05:00+00:00
1771286760,1.36371,1.36381,1.3637000000000001,1.36378,37,6,0,2026-02-17 00:06:00+00:00
1771286820,1.36379,1.36382,1.3637299999999999,1.3637299999999999,16,5,0,2026-02-17 00:07:00+00:00
1771286880,1.3637299999999999,1.36378,1.36372,1.36378,21,5,0,2026-02-17 00:08:00+00:00
1771286940,1.36378,1.36379,1.36375,1.36376,35,4,0,2026-02-17 00:09:00+00:00
1771287000,1.36375,1.36384,1.36374,1.3638,37,5,0,2026-02-17 00:10:00+00:00
1771287060,1.36379,1.3638,1.36378,1.3638,29,5,0,2026-02-17 00:11:00+00:00
