time,open,high,low,close,tick_volume,spread,real_volume,time_utc
1769382300,0.77559,0.77592,0.77529,0.77531,101,60,0,2026-01-25 23:05:00+00:00
1769382600,0.77533,0.77627,0.77509,0.77573,221,42,0,2026-01-25 23:10:00+00:00
1769382900,0.77573,0.77603,0.77541,0.77579,364,59,0,2026-01-25 23:15:00+00:00
1769383200,0.7758,0.77591,0.77552,0.77577,225,40,0,2026-01-25 23:20:00+00:00
1769383500,0.77577,0.77608,0.77569,0.7759,203,40,0,2026-01-25 23:25:00+00:00
1769383800,0.77592,0.77618,0.77574,0.77597,145,46,0,2026-01-25 23:30:00+00:00
1769384100,0.77599,0.77632,0.77592,0.77616,245,34,0,2026-01-25 23:35:00+00:00
1769384400,0.77638,0.77652,0.7757,0.77578,204,12,0,2026-01-25 23:40:00+00:00
1769384700,0.77577,0.77616,0.77514,0.77576,682,13,0,2026-01-25 23:45:00+00:00
1769385000,0.77573,0.77573,0.77477,0.77518,617,17,0,2026-01-25 23:50:00+00:00
1769385300,0.77518,0.7757,0.77502,0.77517,642,40,0,2026-01-25 23:55:00+00:00
1769385600,0.7747,0.77565,0.77429,0.77563,630,3,0,2026-01-26 00:00:00+00:00
1769385900,0.77564,0.77619,0.77528,0.77583,442,6,0,2026-01-26 00:05:00+00:00
1769386200,0.77583,0.77586,0.77498,0.775,270,5,0,2026-01-26 00:10:00+00:00
1769386500,0.775,0.77592,0.77478,0.77546,440,2,0,2026-01-26 00:15:00+00:00
1769386800,0.77546,0.77668,0.77539,0.77665,555,1,0,2026-01-26 00:20:00+00:00
1769387100,0.77666,0.77729,0.77666,0.77721,410,1,0,2026-01-26 00:25:00+00:00
1769387400,0.77721,0.7776,0.77705,0.77754,429,1,0,2026-01-26 00:30:00+00:00
1769387700,0.77754,0.77789,0.77733,0.77733,421,1,0,2026-01-26 00:35:00+00:00
1769388000,0.77733,0.77752,0.77714,0.7772,426,1,0,2026-01-26 00:40:00+00:00
1769388300,0.7772,0.77815,0.77716,0.77794,645,1,0,2026-01-26 00:45:00+00:00
1769388600,0.77793,0.7781,0.77762,0.77809,496,1,0,2026-01-26 00:50:00+00:00
1769388900,0.7781,0.77824,0.77786,0.77798,407,1,0,2026-01-26 00:55:00+00:00
1769389200,0.77797,0.77904,0.77796,0.7784,1130,1,0,2026-01-26 01:00:00+00:00
1769389500,0.77837,0.77883,0.77828,0.77836,709,1,0,2026-01-26 01:05:00+00:00
1769389800,0.77835,0.77905,0.77815,0.77888,569,1,0,2026-01-26 01:10:00+00:00
1769390100,0.77889,0.77923,0.77879,0.77919,500,1,0,2026-01-26 01:15:00+00:00
1769390400,0.77919,0.7794,0.7789,0.7789,595,1,0,2026-01-26 01:20:00+00:00
1769390700,0.77891,0.77891,0.77856,0.7787,665,1,0,2026-01-26 01:25:00+00:00
1769391000,0.77869,0.77894,0.77845,0.77854,657,1,0,2026-01-26 01:30:00+00:00
1769391300,0.77852,0.77867,0.7781,0.77815,627,1,0,2026-01-26 01:35:00+00:00
1769391600,0.77816,0.77825,0.77772,0.77785,647,1,0,2026-01-26 01:40:00+00:00
1769391900,0.77785,0.77811,0.77772,0.77802,605,1,0,2026-01-26 01:45:00+00:00
1769392200,0.77802,0.77809,0.77734,0.77739,676,1,0,2026-01-26 01:50:00+00:00
1769392500,0.77738,0.77785,0.77726,0.77736,903,1,0,2026-01-26 01:55:00+00:00
1769392800,0.77736,0.77741,0.77691,0.77719,848,1,0,2026-01-26 02:00:00+00:00
1769393100,0.7772,0.77808,0.77715,0.77776,643,1,0,2026-01-26 02:05:00+00:00
1769393400,0.77776,0.77812,0.77763,0.7781,601,1,0,2026-01-26 02:10:00+00:00
1769393700,0.77809,0.7784,0.77794,0.77813,771,1,0,2026-01-26 02:15:00+00:00
1769394000,0.77813,0.77837,0.77806,0.77822,698,1,0,2026-01-26 02:20:00+00:00
1769394300,0.77823,0.77827,0.77789,0.77805,811,1,0,2026-01-26 02:25:00+00:00
1769394600,0.77805,0.77821,0.77786,0.7781,741,1,0,2026-01-26 02:30:00+00:00
1769394900,0.77809,0.77811,0.77703,0.77726,744,1,0,2026-01-26 02:35:00+00:00
1769395200,0.77726,0.77743,0.77708,0.77729,561,1,0,2026-01-26 02:40:00+00:00
1769395500,0.77729,0.77729,0.77673,0.77677,801,1,0,2026-01-26 02:45:00+00:00
1769395800,0.77677,0.77722,0.77675,0.77693,555,1,0,2026-01-26 02:50:00+00:00
1769396100,0.77692,0.77757,0.77692,0.77755,641,1,0,2026-01-26 02:55:00+00:00
1769396400,0.77756,0.77775,0.77713,0.77724,394,1,0,2026-01-26 03:00:00+00:00
1769396700,0.77724,0.77746,0.77703,0.77705,433,1,0,2026-01-26 03:05:00+00:00
1769397000,0.77705,0.77706,0.77619,0.77632,674,1,0,2026-01-26 03:10:00+00:00
1769397300,0.77628,0.7768,0.77628,0.77674,873,1,0,2026-01-26 03:15:00+00:00
1769397600,0.77674,0.77709,0.77655,0.77655,723,1,0,2026-01-26 03:20:00+00:00
1769397900,0.77653,0.7767,0.77635,0.7766,640,1,0,2026-01-26 03:25:00+00:00
1769398200,0.7766,0.77661,0.7762,0.77649,675,1,0,2026-01-26 03:30:00+00:00
1769398500,0.77649,0.77657,0.77627,0.77641,472,1,0,2026-01-26 03:35:00+00:00
1769398800,0.77641,0.77653,0.7761,0.77634,512,1,0,2026-01-26 03:40:00+00:00
1769399100,0.77635,0.7767,0.77634,0.77661,390,1,0,2026-01-26 03:45:00+00:00
1769399400,0.77661,0.77691,0.77648,0.7769,377,2,0,2026-01-26 03:50:00+00:00
1769399700,0.77691,0.77717,0.7768,0.77681,482,1,0,2026-01-26 03:55:00+00:00
1769400000,0.77681,0.7771,0.77678,0.7769,502,1,0,2026-01-26 04:00:00+00:00
1769400300,0.7769,0.77711,0.77689,0.77702,408,1,0,2026-01-26 04:05:00+00:00
1769400600,0.77701,0.77716,0.77692,0.77712,406,1,0,2026-01-26 04:10:00+00:00
