"enabled","symbol","datasource","datatype","date_from","date_to","mt5_export_name","notes"
"1","EURAUD","dukascopy","TICK","2016.01.01","","MB_EURAUD_DUKA","weakest_dynamic_fx"
"1","COPPERCMDUSD","dukascopy","TICK","2018.01.01","","MB_COPPER_DUKA","weakest_dynamic_metals_problem"
"1","GBPAUD","dukascopy","TICK","2016.01.01","","MB_GBPAUD_DUKA","weakest_dynamic_fx"
"1","GBPUSD","dukascopy","TICK","2016.01.01","","MB_GBPUSD_DUKA","weakest_dynamic_fx"
"1","AUDUSD","dukascopy","TICK","2016.01.01","","MB_AUDUSD_DUKA","weakest_dynamic_fx"
"1","EURJPY","dukascopy","TICK","2016.01.01","","MB_EURJPY_DUKA","weakest_dynamic_fx"
"1","DEUIDXEUR","dukascopy","TICK","2018.01.01","","MB_DE30_DUKA","weakest_dynamic_indices"
"1","XAUUSD","dukascopy","TICK","2018.01.01","","MB_GOLD_DUKA","weakest_dynamic_live"
"1","USDJPY","dukascopy","TICK","2016.01.01","","MB_USDJPY_DUKA","weakest_dynamic_fx"
"1","USDCHF","dukascopy","TICK","2016.01.01","","MB_USDCHF_DUKA","weakest_dynamic_fx"
"1","USDCAD","dukascopy","TICK","2016.01.01","","MB_USDCAD_DUKA","weakest_dynamic_fx"
"1","XAGUSD","dukascopy","TICK","2018.01.01","","MB_SILVER_DUKA","weakest_dynamic_live"
"1","USA500IDXUSD","dukascopy","TICK","2018.01.01","","MB_US500_DUKA","weakest_dynamic_indices"
"1","EURUSD","dukascopy","TICK","2016.01.01","","MB_EURUSD_DUKA","weakest_dynamic_fx"
